Videocard Name,G3D Mark -,G2D Mark -
GeForce GT 635,852,242
GeForce GT 635M,563,173
GeForce GT 640,"1,182",286
GeForce GT 640M,907,183
GeForce GT 640M LE,673,166
GeForce GT 645,"2,006",443
GeForce GT 645M,959,171
GeForce GT 650M,"1,203",232
GeForce GT 705,355,180
GeForce GT 710,637,214
GeForce GT 710M,444,123
GeForce GT 720,607,196
GeForce GT 720A,601,221
GeForce GT 720M,467,116
GeForce GT 730,811,238
GeForce GT 730A,743,714
GeForce GT 730M,816,173
GeForce GT 735M,596,129
GeForce GT 740,"1,525",344
GeForce GT 740A,702,393
GeForce GT 740M,778,143
GeForce GT 745A,"1,144",748
GeForce GT 745M,"1,054",172
GeForce GT 750M,"1,320",240
GeForce GT 755M,"1,610",306
GeForce GT 820M,627,153
GeForce GT625M,493,170
GeForce GTS 150M,504,407
GeForce GTS 160M,679,308
GeForce GTS 240,622,212
GeForce GTS 250,619,93
GeForce GTS 250M,569,69
GeForce GTS 350M,408,113
GeForce GTS 360M,655,71
GeForce GTS 450,"1,315",302
GeForce GTX 1050,"5,087",474
GeForce GTX 1050 (Mobile),"4,462",292
GeForce GTX 1050 Ti,"6,315",651
GeForce GTX 1050 Ti (Mobile),"5,919",323
GeForce GTX 1050 Ti with Max-Q Design,"5,359",362
GeForce GTX 1050 with Max-Q Design,"3,806",298
GeForce GTX 1060,"10,076",762
GeForce GTX 1060 (Mobile),"8,161",444
GeForce GTX 1060 3GB,"9,729",779
GeForce GTX 1060 5GB,"8,782",693
GeForce GTX 1060 with Max-Q Design,"7,912",430
GeForce GTX 1070,"13,477",857
GeForce GTX 1070 (Mobile),"10,465",603
GeForce GTX 1070 Ti,"14,489",875
GeForce GTX 1070 with Max-Q Design,"10,024",469
GeForce GTX 1080,"15,247",888
GeForce GTX 1080 Ti,"18,266",934
GeForce GTX 1080 with Max-Q Design,"11,462",729
GeForce GTX 1650,"7,802",593
GeForce GTX 1650 (Mobile),"6,969",384
GeForce GTX 1650 SUPER,"10,037",761
GeForce GTX 1650 Ti,"7,480",399
GeForce GTX 1650 Ti with Max-Q Design,"6,352",339
GeForce GTX 1650 with Max-Q Design,"5,882",318
GeForce GTX 1660,"11,686",796
GeForce GTX 1660 SUPER,"12,731",823
GeForce GTX 1660 Ti,"11,797",703
GeForce GTX 1660 Ti (Mobile),"10,176",507
GeForce GTX 1660 Ti with Max-Q Design,"8,638",379
GeForce GTX 260,"1,222",88
GeForce GTX 260M,412,59
GeForce GTX 275,"1,401",106
GeForce GTX 280,"1,181",121
GeForce GTX 280M,621,440
GeForce GTX 285,"1,550",117
GeForce GTX 285M,676,246
GeForce GTX 295,"1,148",195
GeForce GTX 460,"2,284",380
GeForce GTX 460 SE,"1,969",358
GeForce GTX 460 v2,"2,005",459
GeForce GTX 460M,"1,193",247
GeForce GTX 465,"2,681",454
GeForce GTX 470,"3,151",388
GeForce GTX 470M,"1,953",413
GeForce GTX 480,"4,110",447
GeForce GTX 480M,"2,051",536
GeForce GTX 485M,"2,360",479
GeForce GTX 550 Ti,"1,559",363
GeForce GTX 555,"1,807",485
GeForce GTX 560,"2,707",416
GeForce GTX 560 SE,"2,087",413
GeForce GTX 560 Ti,"3,053",417
GeForce GTX 560M,"1,266",243
GeForce GTX 570,"3,908",464
GeForce GTX 570M,"1,923",356
GeForce GTX 580,"4,515",450
GeForce GTX 580M,"2,373",455
GeForce GTX 590,"3,308",527
GeForce GTX 645,"1,858",432
GeForce GTX 650,"1,767",347
GeForce GTX 650 Ti,"2,528",400
GeForce GTX 650 Ti BOOST,"3,360",458
GeForce GTX 660,"4,003",476
GeForce GTX 660 Ti,"4,375",453
GeForce GTX 660M,"1,428",274
GeForce GTX 670,"5,309",523
GeForce GTX 670M,"1,775",321
GeForce GTX 670MX,"1,922",338
GeForce GTX 675M,"1,920",321
GeForce GTX 675MX,"2,338",377
GeForce GTX 680,"5,535",528
GeForce GTX 680M,"3,061",345
GeForce GTX 680M KY_Bullet Edition,"3,569",581
GeForce GTX 680MX,"4,271",730
GeForce GTX 690,"5,654",458
GeForce GTX 745,"2,174",468
GeForce GTX 750,"3,398",480
GeForce GTX 750 Ti,"3,920",497
GeForce GTX 760,"4,777",523
GeForce GTX 760 Ti,"5,206",555
GeForce GTX 760 Ti OEM,"5,427",694
GeForce GTX 760A,"1,060",476
GeForce GTX 760M,"1,685",239
GeForce GTX 765M,"1,971",281
GeForce GTX 770,"5,890",550
GeForce GTX 770M,"2,781",324
GeForce GTX 775M,"4,208",696
GeForce GTX 780,"8,026",602
GeForce GTX 780 Ti,"9,304",626
