Videocard Name,G3D Mark -,G2D Mark -,TDP (W) -,Category
GeForce 830A,"1,005",736,NA,Unknown
GeForce 830M,980,135,25,Mobile
GeForce 8400,81,160,NA,Unknown
GeForce 8400 GS,128,32,40,Desktop
GeForce 8400 SE,68,290,NA,Unknown
GeForce 8400M G,59,241,10,Mobile
GeForce 8400M GS,98,47,11,Mobile
GeForce 8400M GT,64,68,14,Mobile
GeForce 840A,"1,180",266,NA,Unknown
GeForce 840M,"1,067",148,30,Mobile
GeForce 845M,"1,430",233,NA,Mobile
GeForce 8500 GT,115,39,45,Desktop
GeForce 8600 GS,92,100,47,Desktop
GeForce 8600 GT,116,64,47,Desktop
GeForce 8600 GTS,161,36,75,Desktop
GeForce 8600M GS,73,57,20,Mobile
GeForce 8600M GT,89,42,20,Mobile
GeForce 8700M GT,124,97,29,Mobile
GeForce 8800 GS,332,154,105,Desktop
GeForce 8800 GT,519,86,125,Desktop
GeForce 8800 GTS,440,56,146,Desktop
GeForce 8800 GTS 512,591,109,135,Desktop
GeForce 8800 GTX,597,105,155,Desktop
GeForce 8800 Ultra,639,372,171,Desktop
GeForce 8800M GTS,382,159,50,Mobile
GeForce 8800M GTX,462,175,65,Mobile
GeForce 9100,82,345,NA,Unknown
GeForce 9100M G,74,64,NA,Unknown
GeForce 910M,578,150,NA,Unknown
GeForce 9200,171,31,NA,Unknown
GeForce 9200M GE,157,79,NA,Unknown
GeForce 9200M GS,111,55,13,Mobile
GeForce 920A,872,242,NA,Unknown
GeForce 920M,723,119,NA,Unknown
GeForce 920MX,"1,092",150,NA,Unknown
GeForce 9300,127,385,NA,Unknown
GeForce 9300 / nForce 730i,129,367,NA,Unknown
GeForce 9300 GE,84,54,NA,Desktop
GeForce 9300 GS,111,95,NA,Desktop
GeForce 9300 SE,82,344,NA,Unknown
GeForce 9300GE,98,367,NA,Unknown
GeForce 9300M G,85,242,13,Mobile
GeForce 9300M GS,92,33,13,Mobile
GeForce 930A,"1,082",391,NA,Unknown
GeForce 930M,"1,009",154,NA,Unknown
GeForce 930MX,"1,303",191,17,Mobile
GeForce 9400,112,99,NA,Unknown
GeForce 9400 GT,105,60,50,Desktop
GeForce 9400M,75,102,NA,Unknown
GeForce 9400M G,68,61,12,Mobile
GeForce 940A,"1,145",348,NA,Unknown
GeForce 940M,"1,105",154,33,Mobile
GeForce 940MX,"1,504",171,NA,Unknown
GeForce 9450,105,342,NA,Unknown
GeForce 945A,"1,852",716,NA,Unknown
GeForce 945M,"1,945",256,NA,Unknown
GeForce 9500 GS,157,66,NA,Unknown
GeForce 9500 GT,135,40,50,Desktop
GeForce 9500M,104,320,NA,Unknown
GeForce 9500M G,122,172,20,Mobile
GeForce 9500M GS,104,74,20,Mobile
GeForce 9600 GS,279,57,NA,Desktop
GeForce 9600 GSO,350,118,84,Desktop
GeForce 9600 GSO 512,345,111,90,Desktop
GeForce 9600 GT,505,60,95,Desktop
GeForce 9600M GS,119,70,20,Mobile
GeForce 9600M GT,132,40,23,Mobile
GeForce 9600M GT / GeForce GT 220M,293,291,NA,Unknown
GeForce 9650M GS,270,328,29,Mobile
GeForce 9650M GT,140,75,23,Mobile
GeForce 9700M GT,217,156,45,Mobile
GeForce 9700M GTS,326,106,60,Mobile
GeForce 9800 GT,482,99,125,Desktop
GeForce 9800 GT 1024MB,134,315,NA,Unknown
GeForce 9800 GTX,769,366,140,Desktop
GeForce 9800 GTX+,538,139,141,Desktop
GeForce 9800 GTX/9800 GTX+,632,128,NA,Unknown
GeForce 9800 GX2,798,518,197,Desktop
GeForce 9800 S,636,427,NA,Unknown
GeForce 9800M GS,460,109,60,Mobile
GeForce 9800M GT,424,130,65,Mobile
GeForce 9800M GTS,379,135,75,Mobile
GeForce 9800M GTX,462,117,75,Mobile
GeForce 999 GTX,84,138,NA,Unknown
GeForce FX 5100,8,247,NA,Unknown
GeForce FX 5200,8,154,NA,Desktop
GeForce FX 5200 Ultra,12,138,NA,Desktop
GeForce FX 5200LE,7,170,NA,Unknown
GeForce FX 5200SE,12,194,NA,Unknown
GeForce FX 5500,8,152,NA,Desktop
GeForce FX 5600,13,168,NA,Desktop
GeForce FX 5600 Ultra,17,122,NA,Desktop
GeForce FX 5600XT,9,166,NA,Unknown
GeForce FX 5700,41,173,NA,Desktop
GeForce FX 5700 Ultra,34,126,NA,Desktop
GeForce FX 5700LE,25,147,NA,Desktop
GeForce FX 5700VE,33,161,NA,Desktop
GeForce FX 5900,35,188,NA,Desktop
GeForce FX 5900 Ultra,41,170,NA,Desktop
GeForce FX 5900XT,40,134,NA,Desktop
GeForce FX 5900ZT,33,129,NA,Desktop
GeForce FX 5950 Ultra,59,274,NA,Desktop
GeForce FX Go 5200,8,190,NA,Mobile
GeForce FX Go 5600,18,186,NA,Mobile
GeForce FX Go5300,13,159,NA,Unknown
GeForce FX Go5650,17,211,NA,Unknown
GeForce FX Go5700,51,171,NA,Unknown
GeForce G 103M,61,39,14,Mobile
GeForce G 105M,65,32,14,Mobile
GeForce G100,141,60,NA,Unknown
GeForce G102M,134,137,NA,Unknown
GeForce G105M,108,46,NA,Unknown
GeForce G200,200,156,NA,Unknown
GeForce G205M,92,294,NA,Unknown
GeForce G210,104,53,NA,Unknown
GeForce G210M,122,36,14,Mobile
GeForce Go 6100,18,181,NA,Unknown
GeForce Go 6150,19,92,NA,Unknown
GeForce Go 6200,15,204,NA,Mobile
GeForce Go 6400,24,212,NA,Mobile
GeForce Go 6600,69,209,NA,Mobile
GeForce Go 6600 TE/6200 TE,45,223,NA,Unknown
GeForce Go 6800,106,205,NA,Mobile
GeForce Go 6800 Ultra,138,198,NA,Mobile
GeForce Go 7200,45,199,NA,Mobile
GeForce Go 7300,52,114,NA,Mobile
GeForce Go 7400,66,112,NA,Mobile
GeForce Go 7600,128,220,NA,Mobile
GeForce Go 7600 GT,210,125,NA,Mobile
GeForce Go 7700,148,232,NA,Mobile
GeForce Go 7800,115,209,35,Mobile
GeForce Go 7800 GTX,210,239,65,Mobile
GeForce Go 7900 GS,176,254,20,Mobile
GeForce Go 7900 GTX,270,264,45,Mobile
GeForce Go 7950 GTX,264,283,45,Mobile
GeForce GPU,"1,237",164,NA,Mobile
GeForce GT 1030,"2,545",449,30,Desktop
GeForce GT 120,175,91,50,Desktop
GeForce GT 120 / 9500 GT,325,327,NA,Unknown
GeForce GT 120M,266,272,23,Mobile
GeForce GT 130,347,143,75,Desktop
GeForce GT 130M,146,37,23,Mobile
GeForce GT 140,658,225,105,Desktop
GeForce GT 220,208,57,58,Desktop
GeForce GT 220M,121,92,14,Mobile
GeForce GT 230,322,80,NA,Unknown
GeForce GT 230M,201,48,23,Mobile
GeForce GT 240,544,81,69,Desktop
GeForce GT 240M,205,61,23,Mobile
GeForce GT 320,444,92,43,Desktop
GeForce GT 320M,107,41,14,Mobile
GeForce GT 325M,171,52,23,Mobile
GeForce GT 330,422,119,NA,Unknown
GeForce GT 330M,209,57,23,Mobile
GeForce GT 335M,400,49,28,Mobile
GeForce GT 340,774,469,69,Desktop
GeForce GT 415,248,363,NA,Unknown
GeForce GT 415M,286,221,12,Mobile
GeForce GT 420,411,187,50,Desktop
GeForce GT 420M,418,83,23,Mobile
GeForce GT 425M,517,175,23,Mobile
GeForce GT 430,597,189,49,Desktop
GeForce GT 435M,521,208,35,Mobile
GeForce GT 440,766,238,65,Desktop
GeForce GT 445M,881,250,35,Mobile
GeForce GT 520,295,126,29,Desktop
GeForce GT 520M,288,74,12,Mobile
GeForce GT 520MX,293,56,20,Mobile
GeForce GT 525M,459,95,20,Mobile
GeForce GT 530,676,227,50,Desktop
GeForce GT 540M,493,86,32,Mobile
GeForce GT 545,"1,096",342,NA,Unknown
GeForce GT 550M,580,126,32,Mobile
GeForce GT 555M,683,125,30,Mobile
GeForce GT 610,303,127,29,Desktop
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,369,824,NA,Unknown
GeForce GT 620,364,161,30,Desktop
GeForce GT 620M,431,129,15,Mobile
GeForce GT 625,329,194,30,Desktop
GeForce GT 625M,435,210,15,Mobile
GeForce GT 630,683,207,50,Desktop
GeForce GT 630M,549,151,33,Mobile
GeForce GT 635,852,242,NA,Unknown
GeForce GT 635M,563,173,35,Mobile
GeForce GT 640,"1,182",286,65,Desktop
GeForce GT 640M,907,183,32,Mobile
GeForce GT 640M LE,673,166,32,Mobile
GeForce GT 645,"2,006",443,NA,Unknown
GeForce GT 645M,959,171,32,Mobile
GeForce GT 650M,"1,203",232,45,Mobile
GeForce GT 705,355,180,29,Desktop
GeForce GT 710,637,214,25,Desktop
GeForce GT 710M,444,123,NA,Unknown
GeForce GT 720,607,196,19,Desktop
GeForce GT 720A,601,221,NA,Unknown
GeForce GT 720M,467,116,NA,Mobile
GeForce GT 730,811,238,49,Desktop
GeForce GT 730A,743,714,NA,Unknown
GeForce GT 730M,816,173,33,Mobile
GeForce GT 735M,596,129,NA,Mobile
GeForce GT 740,"1,525",344,64,Desktop
GeForce GT 740A,702,393,NA,Unknown
GeForce GT 740M,778,143,NA,Mobile
GeForce GT 745A,"1,144",748,NA,Unknown
GeForce GT 745M,"1,054",172,45,Mobile
GeForce GT 750M,"1,320",240,50,Mobile
GeForce GT 755M,"1,610",306,50,Mobile
GeForce GT 820M,627,153,NA,Unknown
GeForce GT625M,493,170,NA,Unknown
GeForce GTS 150M,504,407,NA,Mobile
GeForce GTS 160M,679,308,60,Mobile
GeForce GTS 240,622,212,120,Desktop
GeForce GTS 250,619,93,150,Desktop
GeForce GTS 250M,569,69,28,Mobile
GeForce GTS 350M,408,113,28,Mobile
GeForce GTS 360M,655,71,38,Mobile
GeForce GTS 450,"1,315",302,106,Desktop
GeForce GTX 1050,"5,087",474,75,Desktop
GeForce GTX 1050 (Mobile),"4,462",292,NA,Mobile
GeForce GTX 1050 Ti,"6,315",651,75,Desktop
GeForce GTX 1050 Ti (Mobile),"5,919",323,NA,Mobile
GeForce GTX 1050 Ti with Max-Q Design,"5,359",362,NA,Mobile
GeForce GTX 1050 with Max-Q Design,"3,806",298,NA,Mobile
GeForce GTX 1060,"10,076",762,120,Desktop
GeForce GTX 1060 (Mobile),"8,161",444,80,Mobile
GeForce GTX 1060 3GB,"9,729",779,120,Desktop
GeForce GTX 1060 5GB,"8,782",693,120,Desktop
GeForce GTX 1060 with Max-Q Design,"7,912",430,80,Mobile
GeForce GTX 1070,"13,477",857,150,Desktop
GeForce GTX 1070 (Mobile),"10,465",603,NA,Mobile
GeForce GTX 1070 Ti,"14,489",875,180,Desktop
GeForce GTX 1070 with Max-Q Design,"10,024",469,90,Mobile
GeForce GTX 1080,"15,247",888,180,Desktop
GeForce GTX 1080 Ti,"18,266",934,250,Desktop
GeForce GTX 1080 with Max-Q Design,"11,462",729,110,Mobile
GeForce GTX 1650,"7,802",593,75,Desktop
GeForce GTX 1650 (Mobile),"6,969",384,50,Mobile
GeForce GTX 1650 SUPER,"10,037",761,100,Desktop
GeForce GTX 1650 Ti,"7,480",399,55,Mobile
GeForce GTX 1650 Ti with Max-Q Design,"6,352",339,35,Mobile
GeForce GTX 1650 with Max-Q Design,"5,882",318,35,Mobile
GeForce GTX 1660,"11,686",796,120,Desktop
GeForce GTX 1660 SUPER,"12,731",823,125,Desktop
GeForce GTX 1660 Ti,"11,797",703,120,Desktop
GeForce GTX 1660 Ti (Mobile),"10,176",507,50,Mobile
GeForce GTX 1660 Ti with Max-Q Design,"8,638",379,60,Mobile
GeForce GTX 260,"1,222",88,202,Desktop
GeForce GTX 260M,412,59,65,Mobile
GeForce GTX 275,"1,401",106,219,Desktop
GeForce GTX 280,"1,181",121,236,Desktop
GeForce GTX 280M,621,440,75,Mobile
GeForce GTX 285,"1,550",117,204,Desktop
GeForce GTX 285M,676,246,75,Mobile
GeForce GTX 295,"1,148",195,289,Desktop
GeForce GTX 460,"2,284",380,150,Desktop
GeForce GTX 460 SE,"1,969",358,150,Desktop
GeForce GTX 460 v2,"2,005",459,160,Desktop
GeForce GTX 460M,"1,193",247,50,Mobile
GeForce GTX 465,"2,681",454,200,Desktop
GeForce GTX 470,"3,151",388,215,Desktop
GeForce GTX 470M,"1,953",413,50,Mobile
GeForce GTX 480,"4,110",447,250,Desktop
GeForce GTX 480M,"2,051",536,100,Mobile
GeForce GTX 485M,"2,360",479,100,Mobile
GeForce GTX 550 Ti,"1,559",363,116,Desktop
GeForce GTX 555,"1,807",485,150,Desktop
GeForce GTX 560,"2,707",416,150,Desktop
GeForce GTX 560 SE,"2,087",413,150,Desktop
GeForce GTX 560 Ti,"3,053",417,170,Desktop
GeForce GTX 560M,"1,266",243,75,Mobile
GeForce GTX 570,"3,908",464,219,Desktop
GeForce GTX 570M,"1,923",356,75,Mobile
GeForce GTX 580,"4,515",450,244,Desktop
GeForce GTX 580M,"2,373",455,100,Mobile
GeForce GTX 590,"3,308",527,365,Desktop
GeForce GTX 645,"1,858",432,64,Desktop
GeForce GTX 650,"1,767",347,64,Desktop
GeForce GTX 650 Ti,"2,528",400,110,Desktop
GeForce GTX 650 Ti BOOST,"3,360",458,134,Desktop
GeForce GTX 660,"4,003",476,140,Desktop
GeForce GTX 660 Ti,"4,375",453,150,Desktop
GeForce GTX 660M,"1,428",274,50,Mobile
GeForce GTX 670,"5,309",523,170,Desktop
GeForce GTX 670M,"1,775",321,75,Mobile
GeForce GTX 670MX,"1,922",338,75,Mobile
GeForce GTX 675M,"1,920",321,100,Mobile
GeForce GTX 675MX,"2,338",377,100,Mobile
GeForce GTX 680,"5,535",528,195,Desktop
GeForce GTX 680M,"3,061",345,100,Mobile
GeForce GTX 680M KY_Bullet Edition,"3,569",581,NA,Unknown
GeForce GTX 680MX,"4,271",730,122,Mobile
GeForce GTX 690,"5,654",458,300,Desktop
GeForce GTX 745,"2,174",468,55,Desktop
GeForce GTX 750,"3,398",480,55,Desktop
GeForce GTX 750 Ti,"3,920",497,60,Desktop
GeForce GTX 760,"4,777",523,170,Desktop
GeForce GTX 760 Ti,"5,206",555,170,Desktop
GeForce GTX 760 Ti OEM,"5,427",694,NA,Unknown
GeForce GTX 760A,"1,060",476,NA,Unknown
GeForce GTX 760M,"1,685",239,55,Mobile
GeForce GTX 765M,"1,971",281,65,Mobile
GeForce GTX 770,"5,890",550,230,Desktop
GeForce GTX 770M,"2,781",324,75,Mobile
GeForce GTX 775M,"4,208",696,NA,Unknown
GeForce GTX 780,"8,026",602,250,Desktop
GeForce GTX 780 Ti,"9,304",626,250,Desktop
GeForce GTX 780M,"3,755",386,122,Mobile
GeForce GTX 850A,"1,050",551,NA,Unknown
GeForce GTX 850M,"2,581",224,40,Mobile
GeForce GTX 850M - MODDED,"1,092",819,NA,Unknown
GeForce GTX 860M,"3,042",226,45,Mobile
GeForce GTX 870M,"3,383",294,110,Mobile
GeForce GTX 880M,"3,876",347,130,Mobile
GeForce GTX 950,"5,389",640,90,Desktop
GeForce GTX 950A,"2,540",308,NA,Unknown
GeForce GTX 950M,"2,604",219,75,Mobile
GeForce GTX 960,"6,044",669,120,Desktop
GeForce GTX 960A,"2,411",631,NA,Unknown
GeForce GTX 960M,"3,427",245,65,Mobile
GeForce GTX 965M,"3,870",342,60,Mobile
GeForce GTX 970,"9,691",780,145,Desktop
GeForce GTX 970M,"5,783",402,75,Mobile
GeForce GTX 970XM FORCE,"6,707",725,NA,Unknown
GeForce GTX 980,"11,239",815,165,Desktop
GeForce GTX 980 Ti,"13,862",853,250,Desktop
GeForce GTX 980M,"7,314",515,100,Mobile
GeForce GTX Titan,"8,556",660,250,Desktop
GeForce GTX TITAN Black,"9,096",603,250,Desktop
GeForce GTX TITAN X,"13,084",833,250,Desktop
GeForce GTX TITAN Z,"9,189",648,375,Desktop
GeForce MX110,"1,469",195,NA,Unknown
GeForce MX130,"1,899",195,NA,Unknown
GeForce MX150,"2,314",218,25,Mobile
GeForce MX230,"1,887",219,NA,Unknown
GeForce MX250,"2,521",250,NA,Unknown
GeForce MX330,"2,545",233,NA,Unknown
