company_acer,company_apple,company_asus,company_dell,company_hp,company_lenovo,company_lg,company_msi,company_other (chinease/korean),company_other (european/american),company_samsung,company_toshiba,cpu_brand,cpu_cores,cpu_mark,cpu_name,cpu_name_key,cpu_thread_mark,gpu_brand,gpu_g2d_mark,gpu_g3d_mark,gpu_name,gpu_name_key,inches,memory_flash_storage,memory_hdd,memory_hybrid,memory_primary,memory_secondary,memory_ssd,opsys_android,opsys_chrome os,opsys_linux,opsys_macos,opsys_windows 10,opsys_windows 7,price_bracket,price_euros,ram_gb,screen_panel_ips,screen_resolution_l,screen_resolution_w,screen_retina_display,screen_touchscreen,typename_2 in 1 convertible,typename_gaming,typename_notebook,typename_ultrabook,weight_kg
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,1,0,500.0,0.0,0,0,0,0,0,0,0,Budget,393.9,4,0,768,1366,0,0,0,0,1,0,1.86
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,Intel,218,922,Intel HD Graphics 520                             ,Intel HD Graphics 620                             ,15.6,0,1,0,500.0,0.0,0,0,0,0,0,0,0,Budget,344.99,4,0,1080,1920,0,0,0,0,1,0,1.86
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,2042,Intel Core i7 2.8GHz,Intel Core i7-640M @ 2.80GHz,1385,AMD,659,3141,AMD Radeon Pro 555                                ,Radeon Pro 555                                    ,15.4,0,0,0,256.0,0.0,1,0,0,0,1,0,0,High End,2439.97,16,1,1800,2880,1,0,0,0,0,1,1.83
0,0,0,1,0,0,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,AMD,516,649,AMD Radeon R5 M430                                ,Radeon R5 M430                                    ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Budget,498.9,4,0,1080,1920,0,0,0,0,1,0,2.2
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,2069,Intel Core M m3 1.2GHz,Intel Core M-5Y71 @ 1.20GHz,1334,Intel,218,922,Intel HD Graphics 615                             ,Intel HD Graphics 620                             ,12.0,0,0,0,256.0,0.0,1,0,0,0,1,0,0,Mid Range,1262.4,8,1,1440,2304,1,0,0,0,0,1,0.92
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,1749,Intel Core i5 2.3GHz,Intel Core i5-540M @ 2.53GHz,1132,Intel,563,1429,Intel Iris Plus Graphics 640                      ,Intel Iris Pro Graphics 6200                      ,13.3,0,0,0,256.0,0.0,1,0,0,0,1,0,0,Mid Range,1518.55,8,1,1600,2560,1,0,0,0,0,1,1.37
0,0,0,1,0,0,0,0,0,0,0,0,Intel,2,3654,Intel Core i7 7500U 2.7GHz,Intel Core i7-7500U @ 2.70GHz,1948,AMD,516,649,AMD Radeon R5 M430                                ,Radeon R5 M430                                    ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,745.0,8,0,1080,1920,0,0,0,0,1,0,2.2
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,3174,Intel Core i7 2.9GHz,Intel Core i7-4600M @ 2.90GHz,1854,AMD,711,3678,AMD Radeon Pro 560                                ,Radeon Pro 560X                                   ,15.4,0,0,0,512.0,0.0,1,0,0,0,1,0,0,High End,2858.0,16,1,1800,2880,1,0,0,0,0,1,1.83
0,0,0,0,0,1,0,0,0,0,0,0,Intel,2,2719,Intel Core i3 7100U 2.4GHz,Intel Core i3-7100U @ 2.40GHz,1391,Nvidia,171,1504,Nvidia GeForce 940MX                              ,GeForce 940MX                                     ,15.6,0,1,0,1000.0,0.0,0,0,0,0,0,0,0,Budget,499.0,8,0,1080,1920,0,0,0,0,1,0,2.2
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,13.3,0,0,0,128.0,0.0,1,0,0,0,0,1,0,Mid Range,979.0,8,1,1080,1920,0,1,0,0,0,1,1.22
0,0,1,0,0,0,0,0,0,0,0,0,Intel,4,911,Intel Atom x5-Z8350 1.44GHz,Intel Atom x5-Z8350 @ 1.44GHz,484,Intel,218,922,Intel HD Graphics 400                             ,Intel HD Graphics 620                             ,11.6,1,0,0,32.0,0.0,0,0,0,0,0,1,0,Budget,191.9,2,0,768,1366,0,0,0,0,1,0,0.98
0,0,0,0,0,1,0,0,0,0,0,0,Intel,4,5107,Intel Core i5 7300HQ 2.5GHz,Intel Core i5-7300HQ @ 2.50GHz,1968,Nvidia,651,6315,Nvidia GeForce GTX 1050                           ,GeForce GTX 1050 Ti                               ,15.6,0,1,0,128.0,1000.0,1,0,0,0,0,1,0,Mid Range,999.0,8,1,1080,1920,0,0,0,1,0,0,2.5
0,0,0,0,1,0,0,0,0,0,0,0,AMD,2,832,AMD E-Series E2-9000e 1.5GHz,AMD E2-9000e,725,AMD,788,8404,AMD Radeon R2                                     ,Radeon R9 290                                     ,15.6,0,1,0,500.0,0.0,0,0,0,0,0,0,0,Budget,258.0,4,0,768,1366,0,0,0,0,1,0,1.86
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,13.3,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,819.0,8,0,1080,1920,0,1,1,0,0,0,1.62
0,0,0,0,1,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,659.0,8,0,1080,1920,0,0,0,0,0,1,1.91
0,0,0,1,0,0,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,Intel,218,922,Intel HD Graphics 520                             ,Intel HD Graphics 620                             ,15.6,0,1,0,1000.0,0.0,0,0,0,0,0,1,0,Budget,418.64,4,0,768,1366,0,0,0,0,1,0,2.3
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,2950,Intel Core i5 1.6GHz,Intel Core i7-4560U @ 1.60GHz,1782,Intel,247,1037,Intel HD Graphics 6000                            ,Intel UHD Graphics 620                            ,13.3,1,0,0,128.0,0.0,0,0,0,0,1,0,0,Mid Range,1099.0,8,0,900,1440,0,0,0,0,0,1,1.35
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,AMD,579,1012,AMD Radeon 530                                    ,RadeonT R5 430                                    ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,800.0,8,0,1080,1920,0,0,0,0,1,0,2.2
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,6371,Intel Core i7 8650U 1.9GHz,Intel Core i7-8650U @ 1.90GHz,2158,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,1298.0,8,0,1080,1920,0,0,0,0,0,1,1.88
0,0,0,0,1,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Nvidia,191,1303,Nvidia GeForce 930MX                              ,GeForce 930MX                                     ,17.3,0,1,0,1000.0,0.0,0,0,0,0,0,1,0,Mid Range,896.0,8,0,1080,1920,0,0,0,0,1,0,2.5
0,0,0,0,0,0,0,0,1,0,0,0,Intel,4,821,Intel Atom x5-Z8300 1.44GHz,Intel Atom x5-Z8300 @ 1.44GHz,463,Intel,218,922,Intel HD Graphics                                 ,Intel HD Graphics 620                             ,15.6,1,0,0,64.0,0.0,0,0,0,0,0,1,0,Budget,244.99,4,0,1080,1920,0,0,0,0,1,0,1.89
0,0,0,0,1,0,0,0,0,0,0,0,AMD,2,1334,AMD A6-Series 9220 2.5GHz,AMD A6-9225,1179,AMD,579,1012,AMD Radeon 530                                    ,RadeonT R5 430                                    ,17.3,0,1,0,500.0,0.0,0,0,0,0,0,1,0,Budget,439.0,4,0,1080,1920,0,0,0,0,1,0,2.71
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,13.3,0,0,0,512.0,0.0,1,0,0,0,0,1,0,High End,1869.0,16,0,1800,3200,0,1,0,0,0,1,1.2
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,2950,Intel Core i5 1.6GHz,Intel Core i7-4560U @ 1.60GHz,1782,Intel,247,1037,Intel HD Graphics 6000                            ,Intel UHD Graphics 620                            ,13.3,1,0,0,256.0,0.0,0,0,0,0,1,0,0,Mid Range,998.0,8,0,900,1440,0,0,0,0,0,1,1.35
0,0,0,0,0,1,0,0,0,0,0,0,Intel,2,1128,Intel Celeron Dual Core N3350 1.1GHz,Intel Celeron N3350 @ 1.10GHz,809,Intel,218,922,Intel HD Graphics 500                             ,Intel HD Graphics 620                             ,14.0,1,0,0,64.0,0.0,0,0,0,0,0,1,0,Budget,249.0,4,0,768,1366,0,0,0,0,1,0,1.44
1,0,0,0,0,0,0,0,0,0,0,0,Intel,2,2981,Intel Core i3 7130U 2.7GHz,Intel Core i3-7130U @ 2.70GHz,1582,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,1,0,1000.0,0.0,0,0,0,1,0,0,0,Budget,367.0,4,0,768,1366,0,0,0,0,1,0,2.1
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,AMD,579,1012,AMD Radeon 530                                    ,RadeonT R5 430                                    ,17.3,0,1,0,128.0,1000.0,1,0,0,0,0,1,0,Mid Range,979.0,8,1,1080,1920,0,0,0,0,1,0,2.8
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,1,0,1000.0,0.0,0,0,0,0,0,1,0,Budget,488.69,4,0,768,1366,0,0,0,0,1,0,1.86
0,0,0,0,1,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Nvidia,191,1303,Nvidia GeForce 930MX                              ,GeForce 930MX                                     ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,879.0,8,0,1080,1920,0,0,0,0,1,0,2.1
0,0,1,0,0,0,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,1,0,1000.0,0.0,0,0,0,1,0,0,0,Budget,389.0,4,0,1080,1920,0,0,0,0,1,0,2.0
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,6955,Intel Core i7 7700HQ 2.8GHz,Intel Core i7-7700HQ @ 2.80GHz,2069,Nvidia,693,8782,Nvidia GeForce GTX 1060                           ,GeForce GTX 1060 5GB                              ,15.6,0,1,0,256.0,1000.0,1,0,0,0,0,1,0,Mid Range,1499.0,16,1,1080,1920,0,0,0,1,0,0,2.65
0,0,1,0,0,0,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Nvidia,171,1504,Nvidia GeForce 940MX                              ,GeForce 940MX                                     ,15.6,0,1,0,1000.0,0.0,0,0,0,1,0,0,0,Budget,522.99,8,0,768,1366,0,0,0,0,1,0,2.3
1,0,0,0,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,682.0,4,1,1080,1920,0,0,0,0,1,0,2.2
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Nvidia,407,504,Nvidia GeForce 150MX                              ,GeForce GTS 150M                                  ,17.3,0,1,0,1000.0,0.0,0,0,0,0,0,1,0,Mid Range,999.0,12,0,1080,1920,0,1,1,0,0,0,2.77
0,1,0,0,0,0,0,0,0,0,0,0,Intel,2,1684,Intel Core i5 2.0GHz,Intel Core i5-520M @ 2.40GHz,1083,Intel,247,1037,Intel Iris Graphics 540                           ,Intel UHD Graphics 620                            ,13.3,0,0,0,256.0,0.0,1,0,0,0,1,0,0,Mid Range,1419.0,8,1,1600,2560,1,0,0,0,0,1,1.37
0,0,0,0,0,1,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,Intel,218,922,Intel HD Graphics 520                             ,Intel HD Graphics 620                             ,15.6,0,0,0,128.0,0.0,1,0,0,0,0,0,0,Budget,369.0,4,0,768,1366,0,0,0,0,1,0,2.2
0,0,1,0,0,0,0,0,0,0,0,0,AMD,8,23278,AMD Ryzen 1700 3GHz,AMD Ryzen 7 6800H,3338,AMD,885,7798,AMD Radeon RX 580                                 ,Radeon RX 580X                                    ,17.3,0,1,0,256.0,1000.0,1,0,0,0,0,1,0,Mid Range,1299.0,8,0,1080,1920,0,0,0,1,0,0,3.2
0,0,0,1,0,0,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,AMD,516,649,AMD Radeon R5 M430                                ,Radeon R5 M430                                    ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,639.0,4,0,1080,1920,0,0,0,0,1,0,2.3
0,0,1,0,0,0,0,0,0,0,0,0,Intel,4,2138,Intel Pentium Quad Core N4200 1.1GHz,Intel Pentium N4200 @ 1.10GHz,857,Nvidia,150,1092,Nvidia GeForce 920MX                              ,GeForce 920MX                                     ,17.3,0,1,0,1000.0,0.0,0,0,0,0,0,1,0,Budget,466.0,4,0,768,1366,0,0,0,0,1,0,2.8
0,0,0,0,0,1,0,0,0,0,0,0,Intel,4,1190,Intel Atom x5-Z8550 1.44GHz,Intel Atom x5-Z8550 @ 1.44GHz,705,Intel,218,922,Intel HD Graphics 400                             ,Intel HD Graphics 620                             ,10.1,1,0,0,64.0,0.0,0,1,0,0,0,0,0,Budget,319.0,4,1,1200,1920,0,1,1,0,0,0,0.69
1,0,0,0,0,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,Nvidia,218,2314,Nvidia GeForce MX150                              ,GeForce MX150                                     ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,841.0,8,1,1080,1920,0,0,0,0,1,0,2.2
0,0,0,0,1,0,0,0,0,0,0,0,AMD,2,1334,AMD A6-Series 9220 2.5GHz,AMD A6-9225,1179,AMD,159,216,AMD Radeon R4 Graphics                            ,Radeon HD 6320 Graphic                            ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Budget,398.49,4,0,1080,1920,0,0,0,0,1,0,1.86
0,0,0,0,1,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,13.3,0,0,0,512.0,0.0,1,0,0,0,0,1,0,Mid Range,1103.0,8,0,1080,1920,0,0,0,0,1,0,1.49
1,0,0,0,0,0,0,0,0,0,0,0,Intel,2,2719,Intel Core i3 7100U 2.4GHz,Intel Core i3-7100U @ 2.40GHz,1391,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,1,0,1000.0,0.0,0,0,0,0,0,1,0,Budget,384.0,4,0,768,1366,0,0,0,0,1,0,2.4
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,AMD,164,470,AMD Radeon 520                                    ,Radeon R5 M420                                    ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,767.8,8,0,1080,1920,0,0,0,0,1,0,2.13
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,Intel,218,922,Intel HD Graphics 520                             ,Intel HD Graphics 620                             ,15.6,0,0,0,128.0,0.0,1,0,0,0,0,1,0,Budget,439.0,4,0,1080,1920,0,0,0,0,1,0,1.91
0,0,1,0,0,0,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Budget,586.19,4,0,768,1366,0,0,0,0,1,0,2.0
0,0,0,0,0,0,0,1,0,0,0,0,Intel,4,6955,Intel Core i7 7700HQ 2.8GHz,Intel Core i7-7700HQ @ 2.80GHz,2069,Nvidia,875,14489,Nvidia GeForce GTX 1070                           ,GeForce GTX 1070 Ti                               ,17.3,0,1,0,256.0,2000.0,1,0,0,0,0,1,0,High End,2449.0,16,0,1080,1920,0,0,0,1,0,0,2.43
0,0,1,0,0,0,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,Intel,218,922,Intel HD Graphics 520                             ,Intel HD Graphics 620                             ,15.6,0,0,0,256.0,0.0,1,0,0,1,0,0,0,Budget,415.0,4,0,1080,1920,0,0,0,0,1,0,2.0
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,AMD,579,1012,AMD Radeon 530                                    ,RadeonT R5 430                                    ,17.3,0,1,0,256.0,2000.0,1,0,0,0,0,1,0,Mid Range,1299.0,16,0,1080,1920,0,0,0,0,1,0,2.8
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,14.0,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,879.0,8,0,1080,1920,0,0,0,0,0,1,1.7
0,0,0,0,0,1,0,0,0,0,0,0,Intel,2,2981,Intel Core i3 7130U 2.7GHz,Intel Core i3-7130U @ 2.70GHz,1582,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,14.0,0,0,0,256.0,0.0,1,0,0,0,0,0,0,Budget,599.0,8,1,1080,1920,0,0,0,0,1,0,1.7
0,0,1,0,0,0,0,0,0,0,0,0,Intel,4,5940,Intel Core i5 8250U 1.6GHz,Intel Core i5-8250U @ 1.60GHz,1932,Intel,247,1037,Intel UHD Graphics 620                            ,Intel UHD Graphics 620                            ,14.0,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,941.0,8,0,1080,1920,0,0,0,0,1,0,1.4
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,690.0,8,0,1080,1920,0,0,0,0,1,0,1.86
0,0,1,0,0,0,0,0,0,0,0,0,Intel,4,6955,Intel Core i7 7700HQ 2.8GHz,Intel Core i7-7700HQ @ 2.80GHz,2069,Nvidia,651,6315,Nvidia GeForce GTX 1050 Ti                        ,GeForce GTX 1050 Ti                               ,15.6,0,0,0,512.0,0.0,1,0,0,0,0,1,0,High End,1983.0,16,0,1080,1920,0,0,0,0,0,1,1.8
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,2274,Intel Core i3 6006U 2GHz,Intel Core i3-6006U @ 2.00GHz,1165,AMD,164,470,AMD Radeon 520                                    ,Radeon R5 M420                                    ,15.6,0,1,0,500.0,0.0,0,0,0,0,0,1,0,Budget,438.69,4,0,768,1366,0,0,0,0,1,0,1.86
0,0,0,0,1,0,0,0,0,0,0,0,Intel,2,664,Intel Celeron Dual Core N3060 1.6GHz,Intel Celeron N3060 @ 1.60GHz,629,Intel,218,922,Intel HD Graphics 400                             ,Intel HD Graphics 620                             ,14.0,0,0,0,32.0,0.0,1,0,0,0,0,1,0,Budget,229.0,4,0,768,1366,0,0,0,0,1,0,1.44
0,0,0,0,0,1,0,0,0,0,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,15.6,0,1,0,1000.0,0.0,0,0,0,0,0,1,0,Budget,549.0,4,0,1080,1920,0,0,0,0,1,0,1.9
0,0,1,0,0,0,0,0,0,0,0,0,Intel,4,6955,Intel Core i7 7700HQ 2.8GHz,Intel Core i7-7700HQ @ 2.80GHz,2069,Nvidia,651,6315,Nvidia GeForce GTX 1050 Ti                        ,GeForce GTX 1050 Ti                               ,17.3,0,1,0,1000.0,0.0,0,0,0,1,0,0,0,Mid Range,949.0,12,0,1080,1920,0,0,0,1,0,0,3.0
0,0,0,0,0,0,0,0,0,1,0,0,Intel,2,3413,Intel Core i5 7200U 2.5GHz,Intel Core i5-7200U @ 2.50GHz,1780,Intel,218,922,Intel HD Graphics 620                             ,Intel HD Graphics 620                             ,13.5,0,0,0,128.0,0.0,1,0,0,0,0,1,0,Mid Range,1089.0,4,0,1504,2256,0,1,0,0,0,1,1.252
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,AMD,579,1012,AMD Radeon 530                                    ,RadeonT R5 430                                    ,13.3,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,955.0,8,1,1080,1920,0,0,0,0,0,1,1.4
0,0,0,1,0,0,0,0,0,0,0,0,Intel,4,5950,Intel Core i7 8550U 1.8GHz,Intel Core i7-8550U @ 1.80GHz,2071,AMD,579,1012,AMD Radeon 530                                    ,RadeonT R5 430                                    ,15.6,0,0,0,256.0,0.0,1,0,0,0,0,1,0,Mid Range,870.0,8,0,1080,1920,0,0,0,0,1,0,2.2
